cluster,num_unique_cafes_visited,avg_visits_per_week,TimeSlot_Afternoon_rate,TimeSlot_Evening_rate,TimeSlot_Morning_rate,TimeSlot_Night_rate,DayOfWeek_Friday_rate,DayOfWeek_Monday_rate,DayOfWeek_Saturday_rate,DayOfWeek_Sunday_rate,DayOfWeek_Thursday_rate,DayOfWeek_Tuesday_rate,DayOfWeek_Wednesday_rate,avg_visit_duration_minutes,total_time_spent_hours,CafeRichnessScore
0,1.0521040189959787,2.353548703041686,0.431337,0.074554,0.481527,0.012583,0.026297,0.033559,0.014607,0.006964,0.029617,0.868105,0.020851,0.7838554240434473,0.05269870633336165,17.80791896661847
1,1.0160947990240408,2.4436542675253374,0.466602,0.094343,0.42675,0.012306,0.020508,0.006748,0.00536,0.003367,0.942278,0.006623,0.015116,0.7948414838667438,0.05634630639216599,18.15067414434237
2,1.0348393410709837,2.4337364180033756,0.43602,0.063205,0.488828,0.011946,0.934363,0.0084,0.011147,0.0044,0.027029,0.007242,0.007419,0.5784263266357578,0.038495450213686146,18.280502475988474
3,1.9987186235489447,2.179159832380676,0.377289,0.118829,0.411364,0.092518,0.184881,0.144854,0.12067,0.101271,0.183006,0.135321,0.129998,1.26427219679045,0.7247563066347736,24.833384017079986
4,1.061895398332707,2.418801657931119,0.489341,0.115454,0.381706,0.013499,0.02243,0.023908,0.033117,0.865834,0.021201,0.015379,0.018131,0.9654823392639977,0.0715417536584334,20.61108585914832
5,1.0422066502451668,2.425658996182224,0.461656,0.112435,0.413619,0.012289,0.022243,0.011875,0.913817,0.009947,0.026714,0.00798,0.007424,0.7399324791860119,0.052378005875275295,19.839439396523534
6,1.0357424190014293,2.3339420833510798,0.393898,0.067472,0.525998,0.012632,0.028189,0.017951,0.012385,0.006135,0.037168,0.013288,0.884883,0.7388201102460922,0.04609128738043094,17.463155070668606
7,2.4423470353692043,4.3653553884823975,0.21376,0.237899,0.251783,0.296558,0.130075,0.146091,0.147268,0.168377,0.143962,0.13995,0.124277,3.005842542111492,4.5172869162831795,55.9191769515044
8,1.0088863214191408,2.2461634077029617,0.063378,0.03604,0.065262,0.835321,0.173178,0.176719,0.076191,0.066468,0.160983,0.136301,0.21016,0.9909966395145331,0.12002407819919414,19.728995826409644
9,1.0544837920230339,2.3632172441938994,0.437527,0.070889,0.479388,0.012196,0.029079,0.895795,0.011133,0.009328,0.030357,0.012033,0.012276,0.760922644640458,0.0498524568795416,17.77219711428424
