,0,1,2
total_pings,10.0,102.0,5.0
unique_days_active,3.0,23.0,2.0
activity_span_days,2.0,28.0,1.0
pings_in_poi,3.0,3.0,0.0
ratio_in_poi,0.5,0.0263157894736842,0.0
pings_in_hotels,0.0,0.0,0.0
ratio_in_hotels,0.0,0.0,0.0
pings_in_luxury_houses,0.0,0.0,0.0
ratio_in_luxury_houses,0.0,0.0,0.0
ratio_in_turkey_sites,0.0,0.0,0.0
pings_in_p_schools,0.0,0.0,0.0
ratio_in_p_schools,0.0,0.0,0.0
num_distinct_polygon_types_visited,1.0,1.0,0.0
num_distinct_poi,1.0,1.0,0.0
num_distinct_hotels,0.0,0.0,0.0
pings_gece,2.0,22.0,0.0
ratio_gece_pings,0.2222222222222222,0.2156862745098039,0.0
pings_sabah,3.0,32.0,2.0
ratio_sabah_pings,0.3333333333333333,0.3068482443482443,0.28125
pings_ogle,1.0,28.0,1.0
ratio_ogle_pings,0.1428571428571428,0.2681159420289855,0.25
pings_aksam,0.0,19.0,0.0
ratio_aksam_pings,0.0,0.19023064687168612,0.0
ratio_poi_gece_to_total_in_poi,0.375,0.0,0.0
ratio_poi_gece_to_total_device_pings,0.0769230769230769,0.0,0.0
pings_poi_sabah,1.0,1.0,0.0
ratio_poi_sabah_to_total_in_poi,0.2097407698350353,0.25,0.0
ratio_poi_sabah_to_total_device_pings,0.0588235294117647,0.009090909090909,0.0
pings_poi_ogle,0.0,1.0,0.0
ratio_poi_ogle_to_total_in_poi,0.0,0.2,0.0
ratio_poi_ogle_to_total_device_pings,0.0,0.0075757575757575,0.0
pings_poi_aksam,0.0,0.0,0.0
ratio_poi_aksam_to_total_in_poi,0.0,0.0,0.0
ratio_poi_aksam_to_total_device_pings,0.0,0.0,0.0
pings_hotels_gece,0.0,0.0,0.0
ratio_hotels_gece_to_total_in_hotels,0.0,0.0,0.0
ratio_hotels_gece_to_total_device_pings,0.0,0.0,0.0
pings_hotels_sabah,0.0,0.0,0.0
ratio_hotels_sabah_to_total_in_hotels,0.0,0.0,0.0
ratio_hotels_sabah_to_total_device_pings,0.0,0.0,0.0
pings_hotels_ogle,0.0,0.0,0.0
ratio_hotels_ogle_to_total_in_hotels,0.0,0.0,0.0
ratio_hotels_ogle_to_total_device_pings,0.0,0.0,0.0
pings_hotels_aksam,0.0,0.0,0.0
ratio_hotels_aksam_to_total_in_hotels,0.0,0.0,0.0
ratio_hotels_aksam_to_total_device_pings,0.0,0.0,0.0
pings_luxury_houses_gece,0.0,0.0,0.0
ratio_luxury_houses_gece_to_total_in_luxury_houses,0.0,0.0,0.0
ratio_luxury_houses_gece_to_total_device_pings,0.0,0.0,0.0
pings_luxury_houses_sabah,0.0,0.0,0.0
ratio_luxury_houses_sabah_to_total_in_luxury_houses,0.0,0.0,0.0
ratio_luxury_houses_sabah_to_total_device_pings,0.0,0.0,0.0
pings_luxury_houses_ogle,0.0,0.0,0.0
ratio_luxury_houses_ogle_to_total_in_luxury_houses,0.0,0.0,0.0
ratio_luxury_houses_ogle_to_total_device_pings,0.0,0.0,0.0
pings_luxury_houses_aksam,0.0,0.0,0.0
ratio_luxury_houses_aksam_to_total_in_luxury_houses,0.0,0.0,0.0
ratio_luxury_houses_aksam_to_total_device_pings,0.0,0.0,0.0
pings_turkey_sites_gece,0.0,0.0,0.0
ratio_turkey_sites_gece_to_total_in_turkey_sites,0.0,0.0,0.0
ratio_turkey_sites_gece_to_total_device_pings,0.0,0.0,0.0
pings_turkey_sites_sabah,0.0,0.0,0.0
ratio_turkey_sites_sabah_to_total_in_turkey_sites,0.0,0.0,0.0
ratio_turkey_sites_sabah_to_total_device_pings,0.0,0.0,0.0
pings_turkey_sites_ogle,0.0,0.0,0.0
ratio_turkey_sites_ogle_to_total_in_turkey_sites,0.0,0.0,0.0
ratio_turkey_sites_ogle_to_total_device_pings,0.0,0.0,0.0
pings_turkey_sites_aksam,0.0,0.0,0.0
ratio_turkey_sites_aksam_to_total_in_turkey_sites,0.0,0.0,0.0
ratio_turkey_sites_aksam_to_total_device_pings,0.0,0.0,0.0
pings_p_schools_gece,0.0,0.0,0.0
ratio_p_schools_gece_to_total_in_p_schools,0.0,0.0,0.0
ratio_p_schools_gece_to_total_device_pings,0.0,0.0,0.0
pings_p_schools_sabah,0.0,0.0,0.0
ratio_p_schools_sabah_to_total_in_p_schools,0.0,0.0,0.0
ratio_p_schools_sabah_to_total_device_pings,0.0,0.0,0.0
pings_p_schools_ogle,0.0,0.0,0.0
ratio_p_schools_ogle_to_total_in_p_schools,0.0,0.0,0.0
ratio_p_schools_ogle_to_total_device_pings,0.0,0.0,0.0
pings_p_schools_aksam,0.0,0.0,0.0
ratio_p_schools_aksam_to_total_in_p_schools,0.0,0.0,0.0
ratio_p_schools_aksam_to_total_device_pings,0.0,0.0,0.0
dominant_gece_location_ping_count,1.0,0.0,0.0
ratio_dominant_gece_loc_pings_to_total_gece,0.3333333333333333,0.0,0.0
