MusteriKodu;MusteriBolge1;MusteriBolge2;MusteriBolge3;MusteriBolge4;SatisKanali;lisansNo;SatisHacmi;DiageoSatisHacmi;RutAdi;RutgrupKod;SatisTemsilcisi;StTakipKod;SatisSefi;SonGuncellenmeZamani;DDegeri;RDegeri;HDegeri;BiletEtkinlik;OrtalamaHarcamaTutari;KuverSayisi;IsbirligiDuzeyi;HerseyDahil;KisMevsimi;OtelTipi;YatakSayisi;YillikMisafir;MusteriUnvan;MusteriTabelaAdi;MusteriCesidi;Adres;lat;lng;MusteriProfili;MapProfileScore;MapPopulationScore;Mapin Segment;not;username;Url detay; url
433249;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;HOTEL;34281647Aİ;S5;D3;Presell On İst.Mod Kadıköy Bölgesi;2814;Onur Çakmaz;8224;Tayfun Öncel;;D5;;H2;;500-999 TL;;Orta;Hayır;Evet;4;;50K-100K;KADIKÖY OTELCİLİK VE TURİZM İŞLETMELERİ A.Ş.;KADIKÖY OTELCİLİK;Business;RIHTIM Cad. 62 RASİMPAŞA Kadıköy / İSTANBUL;40,99544397;29,02480308;C;;;H2;;;var;https://maps.app.goo.gl/k39kVzHodETV1er16
456855;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;ATAŞEHİR;HOTEL;34391592Aİ;S3;D4;Presell On İst.Mod Ataşehir Bölgesi;2819;Volkan Barol;8230;Tayfun Öncel;;D5;;H1;;2.000+ TL;;Yüksek;Hayır;Evet;5 / 5+;;10K-50K;BÜYÜKHANLI KARDEŞLER İNŞAAT TURİZM VE TİCARET A.Ş.;MARRİOT OTEL;Banket, Event, Etkinlik Oteli;KAYIŞDAĞI CADDESİ NO:1 KOZYATAĞI ;40,98091700;29,10137200;AB;;;H1;;marriottasia;var;https://maps.app.goo.gl/WMzAaa4tpqWqHDXL9
700932;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;ÜSKÜDAR;HOTEL;3434004743Aİ;S5;D4;Presell On İst.Mod Ataşehir Bölgesi;2819;Volkan Barol;8230;Tayfun Öncel;;D5;;H1;;500-999 TL;;Düşük;Hayır;Evet;5 / 5+;;10K-50K;MN Butler Mimarlar Araştırma Tasarı ve Yapı Ltd.Şti.;Sumahan on the Water;Diğer (Apart, Pansiyon);Kuleli CD. No:43 Çengelköy Üsküdar/İstanbul ;41,0540863;29,051875;A+;;;H1;;;var;https://maps.google.com/?cid=11419511708799045238
1000029700;Telesales Kanal Md.;Telesales OnTrade;İstanbul Avrupa;ÜSKÜDAR;MODERN;3434004768Aİ;S3;D3;Presell Kayıkçı Telesell OnTrade Bölgesi;2654;Kayıkçı Telesell Ontrade;7735;Telesell Şef;;D4;;;Etkinlik Yok;500-999 TL;100-199;Düşük;;;;;;ŞAHİN DENİZ TURİZMİ VE İŞLETMECİLİĞİ LMD. ŞTİ. ;AŞK GEMİSİ ;Tekne-Event Hall-Catering;ÜSKÜDAR ;41,01910260;28,95795300;C;67,1815;54,2895;D4-C;Bulunamadı;;Bulunamadı;
720622;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;MODERN;34283862Aİ;S5;D5;Presell On İst.Mod Caddebostan Bölgesi;2815;Atakan Balcıoğlu ;8226;Tayfun Öncel;;D3;R0;H0;Etkinlik Yok;500-999 TL;100-199;Yüksek;;;;;;LESTAT GIDA ISLT.TUR.SAN.TIC.LTD.STI;KİRPİ ERENKÖY;Modern Pub & Bistro;;40,96505120;29,07206820;AB;77,7405;62,0554;D3-B;;;BOŞ;
956804;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;KADIKÖY;TRADITIONAL;34285830Aİ;S2;D4;Presell On İst.Tra Kadıköy Bölgesi;2816;Bertan Acabay;8229;Erkan Çoban;;D0;R3;H0;Etkinlik Yok;500-999 TL;100-199;Yüksek;;;;;;40DK EĞİTİM TURZM GIDA VE BİLİŞİM DANHZM TİC LTD ŞTİ;Gri Meyhane ;Geleneksel Meyhane;CAFERAĞA MAH DUMLUPINAR SOK NO 11-1/A KADIKOY ISTANBUL;40,98879597;29,02450808;AB;63,7168;64,6221;R3-C;;;Bulunamadı;
875714;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;MODERN;3428009713Aİ;S3;D4;Presell On İst.Mod Kadıköy Bölgesi;2814;Onur Çakmaz;8224;Tayfun Öncel;;D3;R0;H0;Etkinlik Yok;500-999 TL;100-199;Orta;;;;;;GSS GIDA TURIZM VE TICARET LIMITED SIRKETI;LONDON PUB;Modern Pub & Bistro;OSMANAĞA MH.PİRİ ÇAVUŞ SK.NO:13/1 KADIKOY ISTANBUL;40,98910740;29,02810430;AB;63,7161;63,8223;D3-C;;;Bulunamadı;
1000012934;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;ATAŞEHİR;TRADITIONAL;3439002760Aİ;S3;D2;Presell On Asya Kayıkçı İst.Tra Atşhr-Adalar Bölge;2822;Ramazan İlhami Kılınç;8231;Erkan Çoban;;;R0;;;;;;;;;;;ABA GROUP TEKNOLOJİ A.Ş KENSİNGTON;KENSİNGTON;Yeni Nesil Meyhane;BARBAROS MH.MORZAMBAK SK.NO:1/4/BULVAR 216 ;40,99450499;29,11039467;AB;;;R0-B;;kensington.terrace;Bulunamadı;
831410;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;KADIKÖY;TRADITIONAL;34285464Aİ;S5;D4;Presell On İst.Tra Bostancı Bölgesi;2817;Mehmet Yaşar Tezcan;8228;Erkan Çoban;;;R0;;;;;;;;;;;KEYİFHANE CAFE;KEYİFHANE CAFE;Askeri Birlik-Sosyal Tesis;CIAĞA  MAH MÜHÜRDAR  CAD NO 43 /B KADIKOY ISTANBUL;40,94340610;29,10800380;C;;;R0-B;Bulunamadı;;Bulunamadı;
633358;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;MODERN;34284000Aİ;S5;D3;Presell On İst.Mod Kadıköy Bölgesi;2814;Onur Çakmaz;8224;Tayfun Öncel;;D0;;;;;;;;;;;;ELİF GIDA TURİZM SAN VE TİC AŞ.;TRAFFİC;Modern Pub & Bistro;BALIKÇI YUNUS SK.NO:10 BOSTANCI;41,00112970;29,05534240;C;;;D0-B;Bulunamadı;;Bulunamadı;
