device_aid,cafe_cluster,ping_cluster,restaurant_cluster,cafe_richness_score,ping_richness_score,restaurant_richness_score,OverallRichnessScore
00044db0-1476-41d7-abd6-2a9b862ad316,3,1,1,24.833384017079982,281.3999559238771,11.971680791222932,61.16362772195098
000a0d98-dc4f-4109-83c5-32a0070a051f,9,2,0,17.77219711428424,15.53125,15.44537012874073,16.235292435798446
000b143c-6977-4eb6-ac3e-f8dcc594db96,3,1,3,24.833384017079982,281.3999559238771,16.279023829441762,63.3172992410604
001cd150-f6ba-441b-82f2-a5109b0cb6eb,5,2,3,19.839439396523534,15.53125,16.279023829441762,17.34120004689539
001ce09b-0f34-4510-8b5f-8d8c10cd7c3f,3,1,1,24.833384017079982,281.3999559238771,11.971680791222932,61.16362772195098
0021dead-b0b9-4858-b713-d861402539f2,3,1,2,24.833384017079982,281.3999559238771,12.502815227111812,61.42919493989542
0026664f-e3f0-6699-a3ec-0640b3b724dc,2,1,2,18.280502475988474,281.3999559238771,12.502815227111812,59.244901092864914
0028dd99-b264-4a1b-8251-d4c792c29f12,6,1,1,17.463155070668606,281.3999559238771,11.971680791222932,58.70688473981386
00315695-bc55-4b3a-b4b1-2b1c1f4b0d36,1,2,2,18.15067414434237,15.53125,12.502815227111812,14.890173995003364
0036eea2-6523-4827-950e-62285b45a546,9,2,3,17.77219711428424,15.53125,16.279023829441762,16.65211928614896
0044fb79-cf2f-4c4d-9ece-ed142f2b9340,6,1,1,17.463155070668606,281.3999559238771,11.971680791222932,58.70688473981386
004a6b1a-8880-4044-83bc-06e380263b0e,9,1,3,17.77219711428424,281.3999559238771,16.279023829441762,60.96357027346181
004ad16e-6c69-4992-846a-7e2bcb8cc811,2,1,2,18.280502475988474,281.3999559238771,12.502815227111812,59.244901092864914
0055c309-5fa1-4b0f-9df4-26440e6a3052,3,1,2,24.833384017079982,281.3999559238771,12.502815227111812,61.42919493989542
0058c41a-2ae5-47b7-a12b-9f6d6d838ae8,3,1,2,24.833384017079982,281.3999559238771,12.502815227111812,61.42919493989542
00592c68-3f34-4778-a01a-c09b15920feb,6,2,2,17.463155070668606,15.53125,12.502815227111812,14.661000970445443
0060daa7-b65b-6f15-aacb-5456a3387ad5,3,1,5,24.833384017079982,281.3999559238771,22.787987601932603,66.57178112730581
00638361-c5d4-40f7-ae8f-8c93db2849a2,1,2,2,18.15067414434237,15.53125,12.502815227111812,14.890173995003364
0065d5c1-1be8-48a0-a5a6-38ab09d3c29a,2,2,6,18.280502475988474,15.53125,15.52557479783676,16.444829890914537
006bf679-2a77-45ad-9f37-023fcb5a74d2,1,0,0,18.15067414434237,32.50396825396825,15.44537012874073,19.190237821479197
00701e4f-b2a3-49f4-af3b-650cc75d0a75,0,0,0,17.80791896661847,32.50396825396825,15.44537012874073,19.07598609557123
00726d24-1f2d-42f7-a191-b33477c55809,1,1,0,18.15067414434237,281.3999559238771,15.44537012874073,60.672902433130666
0078dc11-a21a-4604-b9dd-352d28ab59e5,4,2,1,20.61108585914832,15.53125,11.971680791222932,15.444744015327572
007c0c49-52b7-47b3-9e9e-e38fa31e0579,1,2,1,18.15067414434237,15.53125,11.971680791222932,14.624606777058924
007ced6a-43a9-43d5-842e-4623b812545c,5,2,6,19.839439396523534,15.53125,15.52557479783676,16.96447553109289
007fb023-0c31-4a47-8a55-4839f4985936,0,2,1,17.80791896661847,15.53125,11.971680791222932,14.510355051150958
0082f7f7-1233-4545-ad27-d90f3241fa8b,4,2,1,20.61108585914832,15.53125,11.971680791222932,15.444744015327572
008c9778-6a11-4b5b-82aa-348876c16116,5,1,2,19.839439396523534,281.3999559238771,12.502815227111812,59.76454673304327
008ebd4d-2c68-40fa-8bf5-80a6583b6d25,4,1,3,20.61108585914832,281.3999559238771,16.279023829441762,61.90986652174984
00955c42-4efa-4078-bfca-ab1fc8527a26,4,1,1,20.61108585914832,281.3999559238771,11.971680791222932,59.756195002640425
0096d869-6c2d-4f27-bb95-64f43736a6c1,3,1,2,24.833384017079982,281.3999559238771,12.502815227111812,61.42919493989542
00993691-a57f-495c-971e-c83fcd283256,3,1,2,24.833384017079982,281.3999559238771,12.502815227111812,61.42919493989542
00a63f88-2d17-4be2-a8cc-ba82aec77aa3,8,1,0,19.728995826409644,281.3999559238771,15.44537012874073,61.19900966048642
00a6a4e5-1cdd-4ac1-a902-aaa2a5a98fab,3,1,2,24.833384017079982,281.3999559238771,12.502815227111812,61.42919493989542
00a98e26-bbf9-4e42-974a-62965b2036fc,0,2,2,17.80791896661847,15.53125,12.502815227111812,14.775922269095396
00b28b23-db64-433c-9d50-6c1be61ab961,3,1,2,24.833384017079982,281.3999559238771,12.502815227111812,61.42919493989542
00b7ce1b-e782-4d77-a179-048c47c968ad,0,1,0,17.80791896661847,281.3999559238771,15.44537012874073,60.558650707222704
00bf00b1-deb5-43b0-92ef-fdfb3acc7340,1,2,2,18.15067414434237,15.53125,12.502815227111812,14.890173995003364
