device_aid;avg_SatisHacmi;avg_OrtalamaHarcamaTutari;avg_PopulationInverseScore;avg_QualityScore;total_visits;VenueType_D_rate;VenueType_H_rate;VenueType_R_rate;TimeSlot_Afternoon_rate;TimeSlot_Evening_rate;TimeSlot_Morning_rate;TimeSlot_Night_rate;cluster
00044db0-1476-41d7-abd6-2a9b862ad316;1.0;2.0;2.0;1.3333333333333333;3;1.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.3333333333333333;1
000933ad-4cf0-409d-ad21-db6b8a6e14fa;2.0;0.0;1.0;2.0;1;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0
00099886-95d1-4300-b5c1-c952c132f5c8;1.2;1.5;2.8;0.1;10;0.4;0.0;0.6;0.0;0.0;1.0;0.0;0
000a0d98-dc4f-4109-83c5-32a0070a051f;0.6666666666666666;0.0;1.4;1.5;6;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0
000b143c-6977-4eb6-ac3e-f8dcc594db96;1.0;1.5;1.0;1.5;2;0.5;0.0;0.5;1.0;0.0;0.0;0.0;3
000cc4e0-3cbb-4faa-a3bd-207e218562a5;1.0;0.0;2.333333333333333;1.6666666666666667;3;0.3333333333333333;0.0;0.6666666666666666;1.0;0.0;0.0;0.0;3
001b26c7-d8c2-41be-8c71-aa2e949c2003;-1.0;2.0;2.0;1.0;1;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1
001cd150-f6ba-441b-82f2-a5109b0cb6eb;1.5;2.0;3.0;0.5;4;0.0;0.0;1.0;0.5;0.0;0.5;0.0;3
001ce09b-0f34-4510-8b5f-8d8c10cd7c3f;0.0;1.4;3.4;0.5;5;0.8;0.0;0.2;0.0;0.0;1.0;0.0;1
0021dead-b0b9-4858-b713-d861402539f2;-0.7894736842105263;0.1052631578947368;2.210526315789474;1.894736842105263;19;0.8947368421052632;0.0;0.1052631578947368;0.4736842105263157;0.1578947368421052;0.0526315789473684;0.3157894736842105;2
00245f99-be8e-4497-80f4-b3c22f10c235;0.5;1.0;3.5;1.0;4;0.5;0.0;0.5;0.5;0.0;0.25;0.25;2
0026664f-e3f0-6699-a3ec-0640b3b724dc;-0.2142857142857142;1.2142857142857142;2.857142857142857;1.0;14;1.0;0.0;0.0;0.3571428571428571;0.3571428571428571;0.1428571428571428;0.1428571428571428;2
0028dd99-b264-4a1b-8251-d4c792c29f12;1.0;0.0;3.0;2.0;1;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1
00315695-bc55-4b3a-b4b1-2b1c1f4b0d36;1.75;1.75;2.25;1.25;4;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2
0033e3de-f032-445f-baf7-cf83c62387d2;-1.0;0.0;3.0;1.0;1;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0
0036eea2-6523-4827-950e-62285b45a546;2.0;1.0;3.0;0.0;1;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3
003b7e9e-bed2-6d83-b37c-35ff3ef74d12;2.0;2.0;2.0;0.0;4;0.0;0.0;1.0;0.25;0.0;0.0;0.75;6
003fd8a5-aa2f-4fc7-ac6e-7d17fbaf989c;0.5;1.0;3.0;1.5;2;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1
0044fb79-cf2f-4c4d-9ece-ed142f2b9340;0.5;0.0;3.5;1.0;2;0.5;0.0;0.5;0.0;0.0;1.0;0.0;1
00464b27-8ba1-4b9d-82eb-54622db8839e;-1.0;0.0;1.0;0.0;1;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0
0046a679-372d-4f7f-a2ed-18618b24e3ed;1.0;0.0;0.0;1.0;1;0.0;0.0;1.0;0.0;1.0;0.0;0.0;4
00486040-1dc7-4d53-896a-6dce1aa64539;1.0;1.0;3.0;0.0;1;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3
004a6b1a-8880-4044-83bc-06e380263b0e;2.0;2.0;1.0;0.0;1;0.0;1.0;0.0;1.0;0.0;0.0;0.0;3
004ad16e-6c69-4992-846a-7e2bcb8cc811;1.125;1.75;2.375;1.125;8;0.75;0.0;0.25;0.75;0.0;0.25;0.0;2
005062bb-9a60-45be-a58d-3043de8cffe8;0.0;0.0;1.0;1.0;2;0.0;0.0;1.0;0.5;0.0;0.0;0.5;3
0055c309-5fa1-4b0f-9df4-26440e6a3052;2.0;2.0;2.0;2.0;1;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2
0058c41a-2ae5-47b7-a12b-9f6d6d838ae8;1.1;1.5;2.4444444444444446;0.9;10;0.7;0.0;0.3;0.5;0.0;0.5;0.0;2
00592c68-3f34-4778-a01a-c09b15920feb;2.0;1.0;3.0;1.0;3;0.6666666666666666;0.0;0.3333333333333333;1.0;0.0;0.0;0.0;2
005e817f-1347-412a-8a2a-2a7891972e3f;2.0;0.0;1.0;0.0;2;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0
0060daa7-b65b-6f15-aacb-5456a3387ad5;0.7918088737201365;1.3583617747440273;2.4135338345864663;0.6382252559726962;293;1.0;0.0;0.0;0.2627986348122867;0.3720136518771331;0.2901023890784983;0.0750853242320819;5
