isim;adres;latitude;longitude;google_maps_link
ARABICA COFFEE HOUSE;"Mezopotamya Mah. Mahabad Bulvari Azel Ctin Durmaz Rezidans; A Blok Alti; 21070 Kayapinar/Diyarbakir; Türkiye";'37.9446376;'40.1604609;"https://www.google.com/maps?q=37.9446376;40.1604609"
ARABICA COFFEE HOUSE NEVŞ;"2000 Evler; 50300 Nevşehir Merkez/Nevşehir; Türkiye";'38.6705286;'34.7398447;"https://www.google.com/maps?q=38.6705286;34.7398447"
ARABICA COFFEE HOUSE PANORA;"Oran; Kudüs Cd. No:3 D:213; 06450 Cankaya/Ankara; Türkiye";'39.8484905;'32.8336136;"https://www.google.com/maps?q=39.8484905;32.8336136"
Arabica;"Büyükdere; Gençlik Bulvari; 26040 Odunpazari/Eskişehir; Türkiye";'39.751205;'30.4958063;"https://www.google.com/maps?q=39.751205;30.4958063"
Arabica;"İnönü; Buhara Bulvari No:245; 44070 Yeşilyurt/Malatya; Türkiye";'38.3501532;'38.2978292;"https://www.google.com/maps?q=38.3501532;38.2978292"
Arabica cofee etlik;"Aşagi Eglence; Giresun Cd.; 06010 Keçiören/Ankara; Türkiye";'39.972265;'32.8399236;"https://www.google.com/maps?q=39.972265;32.8399236"
Arabica Coffe House;"Mareşal Cakmak; 06936 Sincan Osb/Sincan/Ankara; Türkiye";'39.9603567;'32.5856393;"https://www.google.com/maps?q=39.9603567;32.5856393"
Arabica Coffe House - Konur;"Meşrutiyet; Konur Sok. No:13; 06420 Cankaya/Ankara; Türkiye";'39.9186548;'32.8562789;"https://www.google.com/maps?q=39.9186548;32.8562789"
Arabica Coffe House Mülkiyeliler;"Kizilay; Meşrutiyet mahallesi; Yüksel Cd. no:12; 06460 Cankaya/Ankara; Türkiye";'39.9193185;'32.8566379;"https://www.google.com/maps?q=39.9193185;32.8566379"
Arabica Coffe Kırıkkale;"Yenişehir; 264. Sk. No:5; 71450 Yahşihan/Kirikkale; Türkiye";'39.8712689;'33.4572213;"https://www.google.com/maps?q=39.8712689;33.4572213"
Arabica Coffee;"Yayla; 1610. Sk. No:8; 32100 Isparta Merkez/Isparta; Türkiye";'37.763603;'30.5491916;"https://www.google.com/maps?q=37.763603;30.5491916"
Arabica Coffee;"Paşaköy; Esas 14 Burda Avm; Bolu Düzce Yolu; 14100 Bolu Merkez/Bolu; Türkiye";'40.7319971;'31.5613066;"https://www.google.com/maps?q=40.7319971;31.5613066"
Arabica Coffee Balıkesir;"Haci İlbey mahallesi :48/A; 10100 Altieylül/Balikesir; Türkiye";'39.64475400000000;'27.8795554;"https://www.google.com/maps?q=39.64475400000001;27.8795554"
arabica coffee erzincan;"Karaagaç; ermerkez avm; Fevzi Paşa Cd. no:1; 24100 Erzincan Merkez/Erzincan; Türkiye";'39.7464705;'39.4926548;"https://www.google.com/maps?q=39.7464705;39.4926548"
Arabica Coffee House;"Kuşdilli; Terme Cd. No:62; 40100 Kirşehir Merkez/Kirşehir; Türkiye";'39.1404218;'34.1575048;"https://www.google.com/maps?q=39.1404218;34.1575048"
Arabica Coffee House;"Servi; Hafiz Murat Cd. 34/A; 43030 Kütahya Merkez/Kütahya; Türkiye";'39.4225491;'29.9864795;"https://www.google.com/maps?q=39.4225491;29.9864795"
Arabica Coffee House;"Üniversite; 25100 Yakutiye/Erzurum; Türkiye";'39.9025056;'41.2266007;"https://www.google.com/maps?q=39.9025056;41.2266007"
Arabica Coffee House;"Yenişehir; 271. Sk. No:1; 71100 Yahşihan/Kirikkale; Türkiye";'39.87147969999990;'33.4565626;"https://www.google.com/maps?q=39.87147969999999;33.4565626"
Arabica coffee house;"Özerler; İstanbul Cd. ata iş merkezi no 10; 39750 Lüleburgaz/Kirklareli; Türkiye";'41.4068297;'27.3538414;"https://www.google.com/maps?q=41.4068297;27.3538414"
Arabica Coffee House;"Kemalpaşa; Üniversite Cd. 31/c; 54000 Serdivan/Sakarya; Türkiye";'40.748355;'30.3526785;"https://www.google.com/maps?q=40.748355;30.3526785"
Arabica coffee house;"İşçi Bloklari; Regnum Sky Tower; Muhsin Yazicioglu Cd. No:57; 06530 Cankaya/Ankara; Türkiye";'39.8917749;'32.8109123;"https://www.google.com/maps?q=39.8917749;32.8109123"
Arabica Coffee House;"Keklik Pinari; 06450 Cankaya/Ankara; Türkiye";'39.8668373;'32.8218539;"https://www.google.com/maps?q=39.8668373;32.8218539"
Arabica Coffee House;"Cumhuriyet; İnkilap Sk. No:8/1; 06410 Cankaya/Ankara; Türkiye";'39.9230057;'32.8557576;"https://www.google.com/maps?q=39.9230057;32.8557576"
Arabica Coffee House;"Güneşevler; Mehmet Akif Ersoy Cd No:10-A; 06140 Altindag/Ankara; Türkiye";'39.9713054;'32.8925638;"https://www.google.com/maps?q=39.9713054;32.8925638"
Arabica Coffee House;"Yeni Baglica Mah; Etimesgut Blv. No:75/38; 06790 Etimesgut/Ankara; Türkiye";'39.8983018;'32.6471711;"https://www.google.com/maps?q=39.8983018;32.6471711"
